,Symbol,Avg Return,Sharpe Ratio,Horizon Return
300,SAIHAMCOT,0.14,-17.9,6.78
192,KARNAPHULI,0.14,-17.93,7.38
257,PHENIXINS,0.1,-17.94,3.01
349,USMANIAGL,0.04,-17.98,-3.31
285,RDFOOD,0.08,-18.01,0.39
357,ZAHEENSPIN,-0.22,-18.03,-25.64
222,MITHUNKNIT,-0.37,-18.11,-36.62
168,ICBAMCL2ND,0.19,-18.15,12.27
314,SHEPHERD,-0.08,-18.19,-14.26
64,BATBC,-0.11,-18.22,-20.81
153,GQBALLPEN,0.09,-18.25,1.49
146,GHAIL,0.07,-18.27,-0.52
229,NATLIFEINS,0.15,-18.28,8.04
25,AAMRANET,-0.48,-18.35,-42.89
10,08.Insurance,0.12,-18.36,4.68
196,KEYACOSMET,-0.29,-18.36,-31.14
318,SIMTEX,0.01,-18.36,-5.94
14,12.Mutual_Funds,-0.01,-18.37,-8.23
120,EBL1STMF,0.07,-18.42,-0.48
121,EBLNRBMF,0.05,-18.42,-1.64
104,DELTASPINN,-0.14,-18.44,-19.21
136,FEKDIL,-0.06,-18.45,-12.35
142,FUWANGFOOD,-0.06,-18.47,-12.7
44,AMANFEED,-0.15,-18.47,-20.09
72,BDTHAI,-0.16,-18.47,-21.05
296,RUPALIINS,0.12,-18.48,5.36
355,WMSHIPYARD,-0.2,-18.5,-23.96
254,PEOPLESINS,0.1,-18.54,3.48
313,SHASHADNIM,0.03,-18.57,-3.89
236,NITOLINS,0.1,-18.58,3.27
240,NPOLYMAR,0.08,-18.66,0.86
170,ICBIBANK,0.01,-18.69,-5.82
239,NORTHRNINS,0.07,-18.71,0.62
280,QUASEMIND,-0.5,-18.76,-43.88
184,ISLAMIINS,0.15,-18.78,8.61
247,ORIONINFU,0.15,-18.79,9.08
299,SAIFPOWER,-0.32,-18.85,-32.92
59,ATLASBANG,0.05,-18.85,-2.06
358,ZAHINTEX,-0.15,-18.94,-20.19
171,ICBSONALI1,0.05,-19.04,-1.28
262,POPULARLIF,0.12,-19.08,6.02
130,FARCHEM,-0.33,-19.08,-33.26
71,BDLAMPS,0.12,-19.13,6.23
